Rank,First,Last,Year,Team,Std,Seed,Event,Invited
1,Jillian,Cox,SO,Texas,A,04:30.7,500 Freestyle,Qualified
2,Arabella,Sims,SO,Florida,A,04:31.1,500 Freestyle,Qualified
3,Aurora,Roghair,SR,Stanford,A,04:31.6,500 Freestyle,Qualified
4,Kathryn,Grimes,FR,Virginia,A,04:32.7,500 Freestyle,Qualified
5,Anna,Peplowski,SR,Indiana,A,04:33.9,500 Freestyle,Qualified
6,Ella,Jansen,FR,Tennessee,A,04:34.3,500 Freestyle,Qualified
6,Rachel,Stege,SR,Georgia,A,04:34.3,500 Freestyle,Qualified
8,Julie,Brousseau,FR,Florida,A,04:34.6,500 Freestyle,Qualified
9,Hannah,Bellard,SO,Michigan,A,04:34.8,500 Freestyle,Qualified
10,Rebecca,Diaconescu,FR,Michigan,A,04:35.0,500 Freestyle,Qualified
11,Dune,Coetzee,SR,Georgia,A,04:35.2,500 Freestyle,Qualified
12,Claire,Tuggle,JR,Southern Cali,A,04:35.4,500 Freestyle,Qualified
12,Aimee,Canny,JR,Virginia,A,04:35.4,500 Freestyle,Qualified
14,Emma,Weyant,SR,Florida,A,04:35.6,500 Freestyle,Qualified
15,Cavan,Gormsen,SO,Virginia,A,04:35.6,500 Freestyle,Qualified
16,Abigail,McCulloh,SR,Georgia,A,04:36.2,500 Freestyle,Qualified
17,Lillian,Nesty,FR,Texas,A,04:36.7,500 Freestyle,Qualified
18,Mila,Nikanorov,FR,Ohio St,B,04:37.4,500 Freestyle,Qualified
19,Ching,Gan,SR,Indiana,B,04:37.5,500 Freestyle,Qualified
20,Kate,Hurst,FR,Texas,B,04:37.6,500 Freestyle,Qualified
21,Abby,Carlson,SR,Wisconsin,B,04:37.6,500 Freestyle,Qualified
22,Michaela,Mattes,SO,Florida,B,04:37.9,500 Freestyle,Qualified
23,Erin,Gemmell,SO,Texas,B,04:38.2,500 Freestyle,Qualified
24,Julia,Mrozinski,SR,Tennessee,B,04:38.7,500 Freestyle,Qualified
25,Alexandra,Bastone,SO,Harvard,B,04:38.7,500 Freestyle,Qualified
26,Daria,Golovaty,FR,Louisville,B,04:38.8,500 Freestyle,Qualified
27,Kayla,Wilson,JR,Stanford,B,04:38.8,500 Freestyle,Qualified
28,Natalie,Mannion,JR,Stanford,B,04:38.9,500 Freestyle,Qualified
29,Mabel,Zavaros,Grad,Florida,B,04:39.0,500 Freestyle,Qualified
30,Kate,McCarville,SR,Tennessee,B,04:39.0,500 Freestyle,Qualified
31,Breckin,Gormley,JR,South Carolina,B,04:39.0,500 Freestyle,Qualified
32,Justina,Kozan,JR,Southern Cali,B,04:39.1,500 Freestyle,Qualified
33,Alexa,Reyna,SO,Arizona St,B,04:39.2,500 Freestyle,Qualified
34,Genevieve,Jorgenson,JR,Nebraska,B,04:39.3,500 Freestyle,Qualified
35,Shea,Furse,JR,Georgia,B,04:39.3,500 Freestyle,Qualified
36,Bailey,Hartman,FR,Virginia,B,04:39.4,500 Freestyle,Qualified
37,Hayden,Miller,JR,Texas A&M,B,04:39.4,500 Freestyle,Qualified
38,Chase,Travis,Grad,NC State,B,04:39.5,500 Freestyle,Qualified
39,DENIZ,ERTAN,JR,Arizona St,B,04:39.7,500 Freestyle,Invited
40,Maya,Geringer,Grad,California,B,04:39.8,500 Freestyle,Invited
41,Eliot,Kennedy,SR,Minnesota,B,04:39.8,500 Freestyle,Invited
42,Kathryn,McCarthy,SO,Minnesota,B,04:40.4,500 Freestyle,Invited
43,Megan,Barnes,JR,LSU,B,04:40.6,500 Freestyle,Invited
44,Nora,FLUCK,FR,South Carolina,B,04:40.7,500 Freestyle,Invited
45,Mariah,Denigan,SR,Indiana,B,04:41.0,500 Freestyle,Invited
46,Anna,Moehn,JR,Penn,B,04:41.3,500 Freestyle,Invited
47,Julia,Strojnowska,FR,Auburn,B,04:41.3,500 Freestyle,Invited
48,Summer,Cardwell,SO,Louisville,B,04:41.5,500 Freestyle,Invited
49,Macey,Hansen,FR,Wyoming (W),B,04:41.6,500 Freestyle,Invited
50,Amelia,Bodenstab,FR,Louisville,B,04:41.6,500 Freestyle,Invited
51,Mia,Rankin,SR,Ohio St,B,04:42.0,500 Freestyle,Invited
52,Liberty,Williams,Grad,Alabama,B,04:42.3,500 Freestyle,Invited
53,Grace,Palmer,FR,LSU,B,04:42.5,500 Freestyle,Invited
54,Carli,Cronk,FR,Notre Dame,B,04:42.6,500 Freestyle,Invited
55,Ava,Chavez,SO,California,B,04:42.7,500 Freestyle,Invited
56,Leticia,Fassina Romao,FR,FR Louisville,B,04:43.1,500 Freestyle,Invited
57,Marian,PLOEGER,FR,Michigan,B,04:43.1,500 Freestyle,Invited
58,Tess,Howley,SO,Virginia,B,04:43.2,500 Freestyle,Invited
59,Paige,McKenna,SR,Wisconsin,B,04:43.3,500 Freestyle,Invited
60,Emma,Finlin,FR,Ohio St,B,04:43.4,500 Freestyle,Invited
61,Josephine,Ramey,SO,Florida,B,04:43.8,500 Freestyle,Invited
62,Kathryn,Hazle,SO,California,B,04:44.9,500 Freestyle,Invited
63,Gwenyth,Woodbury,SR,Ohio St,B,04:44.9,500 Freestyle,Invited
64,Alexandra,Waggoner,SR,Seton Hall,B,04:45.0,500 Freestyle,Invited
65,Maren,Conze,SO,UNC,B,04:46.1,500 Freestyle,Invited
66,Sydney,Bergstrom,JR,Penn,B,04:46.1,500 Freestyle,Invited
67,Madison,Kolessar,Grad,South Carolina,B,04:46.7,500 Freestyle,Invited
68,Sophie,Brison,SO,Tennessee,B,04:46.7,500 Freestyle,Invited
69,Heidi,Smithwick,JR,Princeton,B,04:46.9,500 Freestyle,Invited
70,Kimberly,Shannon,FR,Pittsburgh,B,04:47.0,500 Freestyle,Invited
1,Victoria,Huske,JR,Stanford,A,01:51.5,200 Individual Medley,Qualified
2,Alexandra,Walsh,Grad,Virginia,A,01:51.8,200 Individual Medley,Qualified
3,Emma,Sticklen,Grad,Texas,A,01:52.4,200 Individual Medley,Qualified
4,Josephine,Fuller,SR,Tennessee,A,01:52.9,200 Individual Medley,Qualified
5,Caroline,Bricker,SO,Stanford,A,01:53.0,200 Individual Medley,Qualified
6,Phoebe,Bacon,Grad,Wisconsin,A,01:53.1,200 Individual Medley,Qualified
7,Lea,Polonsky,SR,California,A,01:53.3,200 Individual Medley,Qualified
8,Campbell,Stoll,SO,Texas,A,01:53.4,200 Individual Medley,Qualified
9,Leah,Hayes,FR,Virginia,B,01:53.8,200 Individual Medley,Qualified
10,Campbell,Chase,FR,Texas,B,01:53.9,200 Individual Medley,Qualified
11,Lainy,Kruger,SO,Florida,B,01:54.1,200 Individual Medley,Qualified
12,Angela,Coe,SO,Texas,B,01:54.3,200 Individual Medley,Qualified
13,Sara,Stotler,SR,Tennessee,B,01:54.6,200 Individual Medley,Qualified
14,Zoe,Dixon,JR,Florida,B,01:54.6,200 Individual Medley,Qualified
15,Letitia,Sim,JR,Michigan,B,01:54.6,200 Individual Medley,Qualified
16,Lucerne,Bell,JR,Stanford,B,01:54.7,200 Individual Medley,Qualified
17,Sienna,Angove,FR,Ohio St,B,01:54.8,200 Individual Medley,Qualified
18,Ieva,Maluka,JR,Georgia,B,01:55.0,200 Individual Medley,Qualified
19,Lillian,Nordmann,SR,Stanford,B,01:55.1,200 Individual Medley,Qualified
20,Emily,Brown,FR,Tennessee,B,01:55.2,200 Individual Medley,Qualified
21,Paige,Hall,SR,Ohio St,B,01:55.5,200 Individual Medley,Qualified
22,Eleanor,Sun,SO,Princeton,B,01:55.5,200 Individual Medley,Qualified
23,Krista,Marlin,JR,Ohio St,B,01:55.7,200 Individual Medley,Qualified
24,Emily,Thompson,FR,Stanford,B,01:55.9,200 Individual Medley,Qualified
25,Abigail,Daniel,SR,Akron,B,01:56.0,200 Individual Medley,Qualified
26,Ashley,McMillan,SO,Southern Cali,B,01:56.2,200 Individual Medley,Qualified
27,Helen,Noble,JR,NC State,B,01:56.2,200 Individual Medley,Qualified
28,Fernanda,Gomes Celidonio,SR,SR,B,01:56.2,200 Individual Medley,Qualified
28,Paige,Delma,SO,Ohio St,B,01:56.2,200 Individual Medley,Qualified
30,Mary,Macaulay,SO,UNC,B,01:56.3,200 Individual Medley,Qualified
31,Callahan,Dunn,Grad,Wisconsin,B,01:56.3,200 Individual Medley,Qualified
32,Katie,Christopherson,FR,Virginia,B,01:56.4,200 Individual Medley,Qualified
33,Sydney,Gring,SO,Pittsburgh,B,01:56.5,200 Individual Medley,Qualified
34,Ella,Bathurst,SR,Virginia,B,01:56.5,200 Individual Medley,Qualified
35,Tristen,Ulett,Grad,Louisville,B,01:56.6,200 Individual Medley,Qualified
36,Elizabeth,Murphy,JR,UCLA,B,01:56.7,200 Individual Medley,Qualified
37,Mackenzie,Hodges,SO,Southern Cali,B,01:56.7,200 Individual Medley,Qualified
38,Olivia,Theall,Grad,Texas A&M,B,01:56.7,200 Individual Medley,Invited
39,Margaret,Wanezek,FR,Wisconsin,B,01:56.7,200 Individual Medley,Invited
40,Madeline,Huggins,SR,Florida St,B,01:56.8,200 Individual Medley,Invited
41,Reese,Tiltmann,SO,Indiana,B,01:57.1,200 Individual Medley,Invited
42,Lisa,NYSTRAND,FR,NC State,B,01:57.2,200 Individual Medley,Invited
43,Margaux,McDonald,Grad,California,B,01:57.2,200 Individual Medley,Invited
44,Zoe,Skirboll,JR,Virginia,B,01:57.2,200 Individual Medley,Invited
45,Olivia,Herron,JR,SIUC (W),B,01:57.2,200 Individual Medley,Invited
46,diana,petkova,Grad,Alabama,B,01:57.3,200 Individual Medley,Invited
47,Sofia,Plaza,FR,Florida,B,01:57.4,200 Individual Medley,Invited
47,Emma,Weber,JR,Virginia,B,01:57.4,200 Individual Medley,Invited
49,Ana,Jih-Schiff,SR,UCLA,B,01:57.5,200 Individual Medley,Invited
50,Charlotte,Brown,SR,Arizona St,B,01:57.5,200 Individual Medley,Invited
51,Charlotte,Wilson,FR,Virginia,B,01:57.5,200 Individual Medley,Invited
52,Kim,Herkle,SR,Louisville,B,01:57.5,200 Individual Medley,Invited
53,Malia,Amuan,JR,Michigan,B,01:57.6,200 Individual Medley,Invited
54,Hazal,Ozkan,JR,Wisconsin,B,01:57.6,200 Individual Medley,Invited
55,Molly,Mayne,SO,Florida,B,01:57.7,200 Individual Medley,Invited
56,Dakota,Tucker,SO,Princeton,B,01:57.8,200 Individual Medley,Invited
57,Emily,Lundgren,JR,Washington St.,B,01:57.8,200 Individual Medley,Invited
58,Giulia,Goerigk,JR,Texas A&M,B,01:58.0,200 Individual Medley,Invited
59,Delaney,Franklin,SO,South Carolina,B,01:58.0,200 Individual Medley,Invited
60,Karolina,Bank,JR,Missouri,B,01:58.1,200 Individual Medley,Invited
61,Sonia,Vaishnani,SO,Arizona St,B,01:58.1,200 Individual Medley,Invited
62,Edith,Jernstedt,SR,Florida St,B,01:58.3,200 Individual Medley,Invited
63,Mackenzie,Miller,JR,Brigham Young,B,01:58.3,200 Individual Medley,Invited
64,Marie,Landreneau,FR,Georgia,B,01:58.6,200 Individual Medley,Invited
65,Danika,Varda,FR,Ohio St,B,01:58.8,200 Individual Medley,Invited
66,Catherine,Choate,SO,Florida,B,01:58.9,200 Individual Medley,Invited
67,Ryenne,Ulett,SR,Louisville,B,01:59.0,200 Individual Medley,Invited
68,Audrey,Crawford,FR,Auburn,B,01:59.0,200 Individual Medley,Invited
1,Gretchen,Walsh,SR,Virginia,A,20.6,50 Freestyle,Qualified
2,Julia,Dennis,JR,Louisville,A,21.08,50 Freestyle,Qualified
3,Camille,Spink,SO,Tennessee,A,21.23,50 Freestyle,Qualified
4,Claire,Curzan,JR,Virginia,A,21.26,50 Freestyle,Qualified
5,Sophie,Yendell,Grad,Pittsburgh,A,21.3,50 Freestyle,Qualified
6,Mary-Ambre,MOLUH,FR,California,A,21.57,50 Freestyle,Qualified
7,Cadence,Vincent,SO,Alabama,B,21.59,50 Freestyle,Qualified
8,Kristina,Paegle,JR,Indiana,B,21.63,50 Freestyle,Qualified
8,Caroline,Larsen,FR,Louisville,B,21.63,50 Freestyle,Qualified
10,Giulia,Carvalho,SR,Miami (FL),B,21.69,50 Freestyle,Qualified
11,Gabi,Albiero,Grad,Louisville,B,21.71,50 Freestyle,Qualified
12,Maxine,Parker,Grad,Virginia,B,21.75,50 Freestyle,Qualified
13,Hailey,Tierney,SO,Wisconsin,B,21.76,50 Freestyle,Qualified
13,Brady,Kendall,JR,Michigan,B,21.76,50 Freestyle,Qualified
15,Caroline,Bentz,Grad,Arizona St,B,21.77,50 Freestyle,Qualified
16,Tatum,Wall,JR,Duke,B,21.79,50 Freestyle,Qualified
17,Lilian,Christianson,FR,NC State,B,21.81,50 Freestyle,Qualified
17,Grace,Cooper,Grad,Texas,B,21.81,50 Freestyle,Qualified
19,Olivia,Nel,JR,NC State,B,21.82,50 Freestyle,Qualified
20,Lindsay,Flynn,SR,Michigan,B,21.83,50 Freestyle,Qualified
21,Annaliesa,Moesch,FR,Virginia,B,21.84,50 Freestyle,Qualified
22,Michaela,De Villiers,JR,JR LSU,B,21.87,50 Freestyle,Qualified
23,Mckenna,Stone,SR,California,B,21.88,50 Freestyle,Qualified
23,Vasilissa,Buinaia,Grad,Southern Cali,B,21.88,50 Freestyle,Qualified
23,Tyler,Driscoll,SO,NC State,B,21.88,50 Freestyle,Qualified
26,Darcy,Revitt,FR,Washington St.,B,21.89,50 Freestyle,Qualified
27,Ava,Longi,Grad,Texas,B,21.9,50 Freestyle,Qualified
28,Kaitlyn,Owens,SR,Texas A&M,B,21.91,50 Freestyle,Qualified
28,Jillian,Crooks,FR,Tennessee,B,21.91,50 Freestyle,Qualified
30,Sofia,Maksimova,Grad,Cal Baptist,B,21.94,50 Freestyle,Qualified
30,Kailyn,Winter,SR,Alabama,B,21.94,50 Freestyle,Qualified
32,Lindsay,Ervin,JR,Northwestern,B,21.98,50 Freestyle,Qualified
32,Melissa,Nwakalor,SO,Richmond,B,21.98,50 Freestyle,Qualified
34,Claire,Newman,Grad,Michigan,B,21.99,50 Freestyle,Qualified
35,Alexis,Mulvihill,SR,Auburn,B,22,50 Freestyle,Qualified
36,Peyton,Curry,SR,South Carolina,B,22.01,50 Freestyle,Qualified
36,Alexis,Duchsherer,SR,Arizona,B,22.01,50 Freestyle,Qualified
38,Nyah,Funderburke,SR,Ohio St,B,22.03,50 Freestyle,Invited
39,Eboni,McCarty,SR,Georgia,B,22.04,50 Freestyle,Invited
40,Lucy,Mehraban,SO,Louisville,B,22.05,50 Freestyle,Invited
40,STEPHANIE,BALDUCCINI,SO,Michigan,B,22.05,50 Freestyle,Invited
42,Ella,Welch,JR,Louisville,B,22.06,50 Freestyle,Invited
43,Teresa,Ivan,SR,Ohio St,B,22.07,50 Freestyle,Invited
43,Greer,Pattison,SR,UNC,B,22.07,50 Freestyle,Invited
43,Kamryn,Cannings,SO,Liberty,B,22.07,50 Freestyle,Invited
46,Lucy,Thomas,SO,Stanford,B,22.08,50 Freestyle,Invited
47,Alyssa,Bozzuto,FR,Liberty,B,22.09,50 Freestyle,Invited
48,Carmen,Weiler Sastre,JR,Virginia Tech,B,22.11,50 Freestyle,Invited
48,Caroline,Famous,Grad,Southern Cali,B,22.11,50 Freestyle,Invited
50,Julia,Ullmann,FR,Arizona St,B,22.13,50 Freestyle,Invited
50,Helena,Jones,SO,Georgia,B,22.13,50 Freestyle,Invited
52,Chloe,Stepanek,Grad,Texas A&M,B,22.14,50 Freestyle,Invited
53,Zita,Szoke,SO,Ohio,B,22.17,50 Freestyle,Invited
54,Mona,McSharry,Grad,Tennessee,B,22.2,50 Freestyle,Invited
55,Jada,Scott,SO,Alabama,B,22.21,50 Freestyle,Invited
56,Emily,Jones,JR,Alabama,B,22.22,50 Freestyle,Invited
57,Elizaveta,Klevanovich,Grad,Auburn,B,22.25,50 Freestyle,Invited
58,Cameron,Snowden,JR,UNC Wilmington,B,22.26,50 Freestyle,Invited
58,Scarlett,Ferris,SO,Nevada,B,22.26,50 Freestyle,Invited
58,Madison,Parker,SO,SMU,B,22.26,50 Freestyle,Invited
61,Alexis,Greenhawt,SO,Michigan,B,22.28,50 Freestyle,Invited
62,Nicole,Venema,Grad,Northwestern,B,22.29,50 Freestyle,Invited
63,Mya,Dewitt,JR,Indiana,B,22.3,50 Freestyle,Invited
63,Lora,KOMOROCZY,FR,Auburn,B,22.3,50 Freestyle,Invited
65,Amy,Tang,SR,Stanford,B,22.36,50 Freestyle,Invited
66,Addison,Reese,FR,Florida,B,22.39,50 Freestyle,Invited
66,Alison,Pfaff,SO,Duke,B,22.39,50 Freestyle,Invited
66,Olivia,Peoples,SR,Florida,B,22.39,50 Freestyle,Invited
69,Garlynd,Johnson,JR,Stanford,B,22.41,50 Freestyle,Invited
70,Brooklyn,Douthwright,SR,Tennessee,B,22.43,50 Freestyle,Invited
71,Zara,Zallen,SO,Missouri,B,22.45,50 Freestyle,Invited
72,Madeline,Padavic,SR,Miami (Ohio),B,22.5,50 Freestyle,Invited
72,Christey,Liang,JR,Michigan,B,22.5,50 Freestyle,Invited
74,Grace,Frericks,JR,Kentucky,B,22.52,50 Freestyle,Invited
75,Kacey,McKenna,SR,Indiana,B,22.55,50 Freestyle,Invited
75,Skyler,Smith,SR,UNC,B,22.55,50 Freestyle,Invited
75,Casey,Chung,Grad,Michigan,B,22.55,50 Freestyle,Invited
78,Erin,Milligan,Grad,Arizona St,B,22.56,50 Freestyle,Invited
78,Emily,Claesson,JR,Virginia Tech,B,22.56,50 Freestyle,Invited
1,Kathryn,Grimes,FR,Virginia,A,03:59.0,400 Individual Medley,Qualified
2,Emma,Weyant,SR,Florida,A,03:59.2,400 Individual Medley,Qualified
3,Caroline,Bricker,SO,Stanford,A,03:59.9,400 Individual Medley,Qualified
4,Leah,Hayes,FR,Virginia,A,04:01.3,400 Individual Medley,Qualified
5,Ella,Jansen,FR,Tennessee,A,04:01.6,400 Individual Medley,Qualified
6,Lucerne,Bell,JR,Stanford,A,04:01.7,400 Individual Medley,Qualified
7,Campbell,Stoll,SO,Texas,A,04:03.1,400 Individual Medley,Qualified
8,Sienna,Angove,FR,Ohio St,B,04:03.9,400 Individual Medley,Qualified
9,Mabel,Zavaros,Grad,Florida,B,04:03.9,400 Individual Medley,Qualified
10,Zoe,Dixon,JR,Florida,B,04:04.0,400 Individual Medley,Qualified
11,Julie,Brousseau,FR,Florida,B,04:04.2,400 Individual Medley,Qualified
12,Mia,Rankin,SR,Ohio St,B,04:04.8,400 Individual Medley,Qualified
13,Emily,Brown,FR,Tennessee,B,04:05.2,400 Individual Medley,Qualified
14,Ashley,McMillan,SO,Southern Cali,B,04:05.2,400 Individual Medley,Qualified
15,Eleanor,Sun,SO,Princeton,B,04:06.2,400 Individual Medley,Qualified
16,Emily,Thompson,FR,Stanford,B,04:06.3,400 Individual Medley,Qualified
17,Campbell,Chase,FR,Texas,B,04:06.6,400 Individual Medley,Qualified
18,Krista,Marlin,JR,Ohio St,B,04:06.8,400 Individual Medley,Qualified
19,Sofia,Plaza,FR,Florida,B,04:07.2,400 Individual Medley,Qualified
20,Callahan,Dunn,Grad,Wisconsin,B,04:07.5,400 Individual Medley,Qualified
21,Charlotte,Brown,SR,Arizona St,B,04:07.6,400 Individual Medley,Qualified
22,Reese,Tiltmann,SO,Indiana,B,04:07.6,400 Individual Medley,Qualified
23,Kathryn,Hazle,SO,California,B,04:07.6,400 Individual Medley,Qualified
23,Carli,Cronk,FR,Notre Dame,B,04:07.6,400 Individual Medley,Qualified
25,Dakota,Tucker,SO,Princeton,B,04:07.8,400 Individual Medley,Qualified
26,Lisa,NYSTRAND,FR,NC State,B,04:07.9,400 Individual Medley,Qualified
27,Michaela,Mattes,SO,Florida,B,04:08.0,400 Individual Medley,Qualified
28,Giulia,Goerigk,JR,Texas A&M,B,04:08.1,400 Individual Medley,Qualified
29,Kimberly,Shannon,FR,Pittsburgh,B,04:08.5,400 Individual Medley,Qualified
